ID,カテゴリ,ユーザーストーリー,期待される動作,優先度,テスト状態,エラー内容,修正状態
US-001,ホームページ,ユーザーとして トップページを開くと アプリ一覧を見られる,28本のアプリカードが表示される。カテゴリフィルターで絞り込み可能,High,FAIL,「24本のミニアプリ集」「全24本」「アプリ数:21本」と3つの数字がバラバラ（実際は28本）,PENDING
US-002,ホームページ,ユーザーとして カテゴリフィルターをクリックすると 絞り込みができる,game/tool/wellness/training ボタンで APPS を絞り込み表示,High,PASS,,
US-003,ホームページ,ユーザーとして 「無料アカウント作成」ボタンをクリックすると サインアップページに遷移する,/auth/signup へ正常遷移,High,PASS,,
US-004,ホームページ,ユーザーとして 「アプリを見る」ボタンをクリックすると アプリ一覧セクションへスクロールする,#apps アンカーへスムーズスクロール,Medium,PASS,,
US-005,認証,ユーザーとして 新規登録フォームにメール/パスワードを入力して送信すると 確認メールが届く,Supabase signUp 実行。「確認メールを送信しました」メッセージが表示される,High,BLOCKED,本番環境でのメール到達確認が手動作業のため自動テスト不可,N/A
US-006,認証,ユーザーとして 確認メールのリンクをクリックすると ログイン状態でトップページに戻る,/auth/callback が code を受け取り exchangeCodeForSession 後に / へリダイレクト,High,BLOCKED,メールリンクへのアクセスが自動化不可,N/A
US-007,認証,ユーザーとして ログインフォームに正しいメール/パスワードを入力すると ログインできる,supabase.auth.signInWithPassword 成功後 / にリダイレクト,High,BLOCKED,テスト用アカウントが必要,N/A
US-008,認証,ユーザーとして ログインに失敗すると エラーメッセージが表示される,error.message がフォーム内に表示される,High,PASS,,
US-009,認証,ユーザーとして 誤ったコードで /auth/callback にアクセスすると /auth/login?error=... にリダイレクトされる,error パラメータ付きでログインページへリダイレクト,High,PASS,,
US-010,アプリ個別(無料),ユーザーとして 各アプリの無料ページを開くと ゲームが起動する,28本すべての /apps/{slug} が HTTP 200 を返す,High,PASS,,
US-011,アプリ個別(無料),ユーザーとして テトリスで日次上限(5回)に達すると ProWallModal が表示される,FreemiumGate.canPlay() が false になりモーダル表示。streak/level に応じてコピー変化,High,PASS,,
US-012,アプリ個別(無料),ユーザーとして 翌日になると 無料プレイ回数がリセットされる,FreemiumGate の lastDate が変わると todayCount がリセット,Medium,PASS,,
US-013,アプリ個別(無料),ユーザーとして flashcard/quiz-maker/haiku/bingo でプレイすると FreemiumGate が適用される,GAME_FREEMIUM_CONFIGS に4アプリが登録されていること,High,FAIL,GAME_FREEMIUM_CONFIGS に flashcard/quiz-maker/haiku/bingo が未登録。無制限プレイ可能でPro訴求ゼロ,PENDING
US-014,アプリ個別(無料),ユーザーとして FlowEngine のレベル自動調整が動作する,成功率65-80%で維持。ゾーン入りでxpボーナス,Medium,PASS,,
US-015,Pro購入フロー,ユーザーとして 未ログイン状態で /apps/{slug}/pro にアクセスすると ログイン誘導画面が出る,「ログインが必要です」画面と /auth/login リンクが表示される,High,PASS,,
US-016,Pro購入フロー,ユーザーとして ログイン済みで未購入の状態で /apps/{slug}/pro にアクセスすると 購入画面が出る,価格・Pro機能リスト・CheckoutButton が表示される,High,PASS,,
US-017,Pro購入フロー,ユーザーとして 購入ボタンをクリックすると Stripe Checkout にリダイレクトされる,POST /api/stripe/checkout → session.url へリダイレクト,High,BLOCKED,Stripe テスト決済の自動化は手動確認が必要,N/A
US-018,Pro購入フロー,ユーザーとして 未ログインで購入ボタンを押すと 401エラーが返る,/api/stripe/checkout が 401 を返す,High,PASS,,
