story_id,app_slug,category,feature_type,user_story,expected_behavior,url_path,test_status,error_notes,priority
US-001,global,infrastructure,navigation,ユーザーとして ホームページを開いたとき 全28本のアプリカードが表示される,ヒーロー + アプリグリッド(28枚) が描画される / ローディングエラーなし,/,PASS,HTTP 200 / title: MicroApps Hub — 28本のミニアプリ集 / description meta 確認,HIGH
US-002,global,infrastructure,navigation,ユーザーとして カテゴリフィルター「ゲーム」を押したとき ゲーム系アプリのみに絞り込まれる,ゲームカテゴリ以外のカードが非表示になり件数が変わる,/,UNTESTED,クライアントサイドフィルター / ブラウザテスト必要,HIGH
US-003,global,infrastructure,navigation,ユーザーとして カテゴリフィルター「ツール」を押したとき ツール系アプリのみ表示される,flashcard / quiz-maker / pomodoro / color-palette / schedule の5本が表示される,/,UNTESTED,クライアントサイドフィルター / ブラウザテスト必要,MED
US-004,global,infrastructure,navigation,ユーザーとして カテゴリフィルター「ウェルネス」を押したとき ウェルネス系アプリのみ表示される,breathing / quote / noise / haiku の4本が表示される,/,UNTESTED,クライアントサイドフィルター / ブラウザテスト必要,MED
US-005,global,infrastructure,navigation,ユーザーとして カテゴリフィルター「トレーニング」を押したとき トレーニング系アプリのみ表示される,typing / reaction / color-test / math-trainer / kanji-quiz / senior-brain の6本が表示される,/,UNTESTED,クライアントサイドフィルター / ブラウザテスト必要,MED
US-006,global,infrastructure,navigation,ユーザーとして カテゴリフィルター「全て」を押したとき 全28本が再表示される,絞り込み解除後に28枚全カードが戻る,/,UNTESTED,クライアントサイドフィルター / ブラウザテスト必要,HIGH
US-007,global,infrastructure,auth,未ログインユーザーとして 「無料アカウント作成」ボタンを押したとき サインアップページへ遷移する,/auth/signup に遷移しサインアップフォームが表示される,/,CODE_REVIEW,Link href='/auth/signup' を確認 / 200 OK,HIGH
US-008,global,auth,signup,新規ユーザーとして メールアドレスとパスワードを入力してサインアップしたとき 確認メールが届く,「確認メールを送信しました」メッセージ表示 / Supabase に pending ユーザー登録,/auth/signup,UNTESTED,実際のメール確認が必要,HIGH
US-009,global,auth,email_confirm,新規ユーザーとして メールの確認リンクをクリックしたとき ログイン済み状態でホームに戻る,/auth/callback → / にリダイレクト / セッションクッキー発行,/auth/callback,UNTESTED,実際のメール確認リンクが必要,HIGH
US-010,global,auth,login,登録済みユーザーとして ログインフォームにメール+パスワードを入力したとき ホームページに戻る,セッション確立 → / にリダイレクト / ログアウトボタンが表示,/auth/login,UNTESTED,実際のログインフォーム操作が必要,HIGH
US-011,global,auth,login,未登録のメールでログインしようとしたとき エラーメッセージが表示される,「メールアドレスまたはパスワードが正しくありません」などのエラー表示,/auth/login,UNTESTED,実際のログインフォーム操作が必要,HIGH
US-012,global,auth,logout,ログイン済みユーザーとして ログアウトしたとき セッションが削除されトップに戻る,Supabase セッション削除 / / に遷移 / 認証状態リセット,/,UNTESTED,実際のログアウト操作が必要,MED
US-013,global,infrastructure,ogp,SNSシェアBot として /api/og/tetris にアクセスしたとき 1200×630 の OGP 画像が返る,Content-Type: image/png or image/jpeg / ステータス200,/api/og/tetris,PASS,HTTP 200 / Content-Type: image/png,HIGH
US-014,global,infrastructure,ogp,SNSシェアBot として /api/og/shogi にアクセスしたとき 将棋アプリの OGP 画像が返る,アプリ名「将棋」/ 価格「¥780」/ 絵文字「♟️」を含むカード画像,/api/og/shogi,PASS,HTTP 200 / Content-Type: image/png,MED
US-015,global,infrastructure,ogp,SNSシェアBot として /api/og/unknown-slug にアクセスしたとき デフォルト画像またはエラーが返る,500エラーにならずフォールバック画像または404が返る,/api/og/nonexistent,PASS,HTTP 200 / フォールバック画像（MicroApps Hub）を返す,LOW
US-016,global,infrastructure,api,開発者として /api/apps にアクセスしたとき 全アプリのリストが返る,JSON配列 28件 / 各アプリのslug・title・price を含む,/api/apps,PASS,HTTP 200 / JSON 28件 / slug・title・price 含む,LOW
US-017,global,infrastructure,prediction,テトリスユーザーとして PredictionCard がスコア5件以上たまったとき 次のスコア予測が表示される,TimesFM または線形回帰の予測値が UI に表示される / エラーにならない,/apps/tetris,UNTESTED,ブラウザ + 5プレイ以上が必要,MED
US-018,global,infrastructure,learning,ログイン済みユーザーとして ゲームを終了したとき 学習記録が /api/learning に保存される,POST /api/learning → 200 / learning_records テーブルに1行挿入,/api/learning,UNTESTED,認証 + ブラウザ操作が必要,MED
US-019,global,infrastructure,learning,未ログインユーザーとして ゲームを終了しても 学習記録APIを呼ばない,fire-and-forget は未ログイン時スキップ / エラーなし,/apps/tetris,CODE_REVIEW,recordGameResult: ログインなし時はfire-and-forget がスキップされる実装,LOW
US-020,global,infrastructure,mobile,モバイルユーザーとして ホームページを開いたとき レスポンシブレイアウトで表示される,375px幅でカードグリッドが1列になりスクロール可能,/,UNTESTED,375px ブラウザテストが必要,MED
US-021,tetris,game,free_play,ユーザーとして テトリスページを開いたとき ゲームキャンバスが表示されスタートできる,レベル1のテトリスが起動 / ブロックが落下開始,/apps/tetris,PASS,HTTP 200 OK,HIGH
